Username,Email,Password (SHA-256 Hashed),Role,User_ID,Phone_number,Otp_Code,Is_Verified,Date_Joined,Last_Login,Project_Name,Project_ID,Status,Project_Description,Task_Name,Task_Status,Task_ID,Time_Logged,Clock_In   ,Clock_Out,Location,Approved,Attendance_Change_Date,Attendance_Change_Status,Attendance_Date,Attendance_Status,Leave_Start_Date,Leave_End_Date,Leave_Reason,Leave_Status,Alert_Type,Alert_Message, Alert_Timestamp,Start_Date,End_Date,Report_Type,File_Path,Prediction_Type,Predicted_Value,Timestamp,System,Action,Request_Data,Response_Data,Status,Alert_Timestamp
michael93,clarkstephanie@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,employee,1,123456789,ABCD1234,TRUE,20-02-2024,8:00 PM,Website Redesign,1,Done,Revamping company website,Design Home Page,In Progress,101,0,02-03-2024 08:00,02-03-2024 17:00,Office,TRUE,05-03-2024,Present,05-03-2024,Present,10-03-2024,12-03-2024,Family Emergency,Pending,Clock-in,User has clocked in.,05-03-2024 08:00,01-03-2024,05-03-2024,work_hours,work_hours_report.xlsx,workload,7.5,10-03-2024 12:00,hr,sync,"{""attendance"": [{""username"": ""john_doe"", ""date"": ""2024-03-01""}]}","{""message"": ""Success""}",success,10-03-2024 12:00
nicholas59,ricky65@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,manager,2,123456789,ABCD1235,FALSE,21-02-2024,8:00 PM,Website Redesign,1,Done,Revamping company website,Design Home Page,In Progress,101,1,02-03-2024 09:00,03-03-2024 17:00,Remote,TRUE,06-03-2024,Present,06-03-2024,Present,11-03-2024,13-03-2024,Family Emergency,Pending,Clock-in,User has clocked in.,06-03-2024 08:00,02-03-2024,06-03-2024,work_hours,work_hours_report.xlsx,workload,8.5,11-03-2024 12:00,hr,sync,"{""attendance"": [{""username"": ""john_doe"", ""date"": ""2024-03-01""}]}","{""message"": ""Success""}",success,11-03-2024 12:00
gwolf,rosspatrick@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,employee,3,123456789,ABCD1236,FALSE,22-02-2024,8:00 PM,Website Redesign,1,Done,Revamping company website,Design Home Page,In Progress,101,2,03-03-2024 09:00,04-03-2024 17:00,Remote,TRUE,07-03-2024,Present,07-03-2024,Present,12-03-2024,14-03-2024,Family Emergency,Pending,Clock-in,User has clocked in.,07-03-2024 08:00,03-03-2024,07-03-2024,work_hours,work_hours_report.xlsx,workload,9.5,12-03-2024 12:00,hr,sync,"{""attendance"": [{""username"": ""john_doe"", ""date"": ""2024-03-01""}]}","{""message"": ""Success""}",success,12-03-2024 12:00
cholmes,carriewright@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,employee,4,123456789,ABCD1237,FALSE,23-02-2024,8:00 PM,Website Redesign,1,Done,Revamping company website,Design Home Page,In Progress,101,3,04-03-2024 09:00,05-03-2024 17:00,Office,TRUE,08-03-2024,Present,08-03-2024,Present,13-03-2024,15-03-2024,Family Emergency,Pending,Clock-in,User has clocked in.,08-03-2024 08:00,04-03-2024,08-03-2024,work_hours,work_hours_report.xlsx,workload,10.5,13-03-2024 12:00,hr,sync,"{""attendance"": [{""username"": ""john_doe"", ""date"": ""2024-03-01""}]}","{""message"": ""Success""}",success,13-03-2024 12:00
jonesfrank,james63@brown.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,admin,5,123456789,ABCD1238,FALSE,24-02-2024,8:00 PM,Website Redesign,1,Done,Revamping company website,Design Home Page,In Progress,101,4,05-03-2024 09:00,06-03-2024 17:00,Office,TRUE,09-03-2024,Present,09-03-2024,Present,14-03-2024,16-03-2024,Family Emergency,Pending,Clock-in,User has clocked in.,09-03-2024 08:00,05-03-2024,09-03-2024,work_hours,work_hours_report.xlsx,workload,11.5,14-03-2024 12:00,hr,sync,"{""attendance"": [{""username"": ""john_doe"", ""date"": ""2024-03-01""}]}","{""message"": ""Success""}",success,14-03-2024 12:00
andrea06,gbutler@mcdaniel.org,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,admin,6,123456789,ABCD1239,FALSE,25-02-2024,8:00 PM,Website Redesign,1,Done,Revamping company website,Design Home Page,In Progress,101,5,06-03-2024 09:00,07-03-2024 17:00,Office,TRUE,10-03-2024,Present,10-03-2024,Present,15-03-2024,17-03-2024,Family Emergency,Pending,Clock-in,User has clocked in.,10-03-2024 08:00,06-03-2024,10-03-2024,work_hours,work_hours_report.xlsx,workload,12.5,15-03-2024 12:00,hr,sync,"{""attendance"": [{""username"": ""john_doe"", ""date"": ""2024-03-01""}]}","{""message"": ""Success""}",success,15-03-2024 12:00
jacksoncolton,michelle08@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,manager,7,123456789,ABCD1240,FALSE,26-02-2024,8:00 PM,Website Redesign,1,Done,Revamping company website,Design Home Page,In Progress,101,6,07-03-2024 09:00,08-03-2024 17:00,Remote,TRUE,11-03-2024,Present,11-03-2024,Present,16-03-2024,18-03-2024,Family Emergency,Pending,Clock-in,User has clocked in.,11-03-2024 08:00,07-03-2024,11-03-2024,work_hours,work_hours_report.xlsx,workload,13.5,16-03-2024 12:00,hr,sync,"{""attendance"": [{""username"": ""john_doe"", ""date"": ""2024-03-01""}]}","{""message"": ""Success""}",success,16-03-2024 12:00
heather62,troy92@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,employee,8,123456789,ABCD1241,FALSE,27-02-2024,8:00 PM,Website Redesign,1,Done,Revamping company website,Design Home Page,In Progress,101,7,08-03-2024 09:00,09-03-2024 17:00,Remote,TRUE,12-03-2024,Present,12-03-2024,Present,17-03-2024,19-03-2024,Family Emergency,Pending,Clock-in,User has clocked in.,12-03-2024 08:00,08-03-2024,12-03-2024,work_hours,work_hours_report.xlsx,workload,14.5,17-03-2024 12:00,hr,sync,"{""attendance"": [{""username"": ""john_doe"", ""date"": ""2024-03-01""}]}","{""message"": ""Success""}",success,17-03-2024 12:00
patricia51,pbrown@morris-gonzalez.net,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,manager,9,123456789,ABCD1242,FALSE,28-02-2024,8:00 PM,Website Redesign,1,Done,Revamping company website,Develop Login Screen,In Progress,102,8,09-03-2024 09:00,10-03-2024 17:00,Remote,TRUE,13-03-2024,Present,13-03-2024,Present,18-03-2024,20-03-2024,Family Emergency,Pending,Clock-in,User has clocked in.,13-03-2024 08:00,09-03-2024,13-03-2024,work_hours,work_hours_report.xlsx,workload,15.5,18-03-2024 12:00,hr,sync,"{""attendance"": [{""username"": ""john_doe"", ""date"": ""2024-03-01""}]}","{""message"": ""Success""}",success,18-03-2024 12:00
courtney08,michaelramirez@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,manager,10,123456789,ABCD1243,FALSE,29-02-2024,8:00 PM,Website Redesign,1,Done,Revamping company website,Develop Login Screen,In Progress,102,9,10-03-2024 09:00,11-03-2024 17:00,Remote,TRUE,14-03-2024,Present,14-03-2024,Present,19-03-2024,21-03-2024,Family Emergency,Approved,Clock-in,User has clocked in.,14-03-2024 08:00,10-03-2024,14-03-2024,work_hours,work_hours_report.xlsx,workload,16.5,19-03-2024 12:00,hr,sync,"{""attendance"": [{""username"": ""john_doe"", ""date"": ""2024-03-01""}]}","{""message"": ""Success""}",success,19-03-2024 12:00
